ma_sach,ten_sach,text_for_embedding
77,Lan Hữu,"Tên sách: Lan Hữu. Tác giả: Nhượng Tống. Năm XB: 1940. NXB: Tân Dân. Thể loại: Tiểu Thuyết (Sách Việt Nam). Cảm xúc: lãng mạn, tình yêu. Mô tả: Tiếp nối 'Tố Tâm', 'Lan Hữu' là câu chuyện tình yêu giữa ba nhân vật Ngọc, Lan và Hữu, phản ánh những rung động đầu đời và những lựa chọn định mệnh trong cuộc sống.. Mục đích: suy ngẫm, giải trí, tìm hiểu văn học, lãng mạn, tình yêu. Đối tượng: mọi lứa tuổi. Đặc điểm: Tình yêu và lựa chọn định mệnh của Ngọc, Lan, Hữu. Từ khóa: tiểu thuyết, tình yêu, tuổi trẻ."
78,Chùa Đàn,"Tên sách: Chùa Đàn. Tác giả: Nguyễn Tuân. Năm XB: 1946. NXB: NXB Kim Đồng. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: suy ngẫm, nghệ thuật. Mô tả: Tác phẩm kể về nghệ nhân đàn đáy tài hoa nhưng lạc lõng trong xã hội, phản ánh sự giao thoa giữa nghệ thuật và tâm linh, giữa thực tại và huyền ảo.. Mục đích: suy ngẫm, cảm thụ nghệ thuật. Đối tượng: mọi lứa tuổi. Đặc điểm: Nghệ nhân đàn đáy và sự giao thoa nghệ thuật, tâm linh. Từ khóa: truyện ngắn, nghệ thuật, tâm linh."
79,Sử Việt – 12 Khúc Tráng Ca,"Tên sách: Sử Việt – 12 Khúc Tráng Ca. Tác giả: Dũng Phan. Năm XB: 2019. NXB: NXB Thế Giới. Thể loại: Lịch Sử (Sách Việt Nam). Cảm xúc: lòng yêu nước, lịch sử. Mô tả: Cuốn sách kể lại 12 câu chuyện hào hùng trong lịch sử Việt Nam, từ Lý Thường Kiệt đến Quang Trung, với lối kể chuyện sinh động, gần gũi, khơi dậy niềm tự hào dân tộc.. Mục đích: giáo dục, suy ngẫm, truyền cảm hứng yêu nước, tìm hiểu lịch sử. Đối tượng: mọi lứa tuổi. Đặc điểm: 12 câu chuyện hào hùng về lịch sử Việt Nam. Từ khóa: lịch sử, Việt Nam, anh hùng."
80,Đắc Nhân Tâm,"Tên sách: Đắc Nhân Tâm. Tác giả: Dale Carnegie. Năm XB: 1936. NXB: NXB Tổng hợp TP.HCM. Thể loại: Kỹ Năng Sống (Sách Nước Ngoài). Cảm xúc: động lực, kỹ năng sống. Mô tả: 'Đắc Nhân Tâm' là cuốn sách kinh điển về nghệ thuật ứng xử và giao tiếp, giúp con người thấu hiểu nhau hơn và trở nên thành công trong cả công việc lẫn đời sống cá nhân. Qua hàng chục nguyên tắc vàng, Dale Carnegie hướng dẫn người đọc cách để trở nên dễ mến, thuyết phục người khác, và truyền cảm hứng một cách chân thành. Không chỉ là sách kỹ năng, đây còn là cuốn “cẩm nang sống” được hàng triệu người trên thế giới yêu thích và áp dụng.. Mục đích: phát triển bản thân, cải thiện giao tiếp, kỹ năng mềm, động lực. Đối tượng: mọi lứa tuổi. Đặc điểm: Hướng dẫn giao tiếp và thuyết phục hiệu quả. Từ khóa: kỹ năng sống, giao tiếp, self-help."
81,Mỗi Lần Vấp Ngã Là Một Lần Trưởng Thành,"Tên sách: Mỗi Lần Vấp Ngã Là Một Lần Trưởng Thành. Tác giả: Liễu Trí Phong. Năm XB: 2009. NXB: NXB Thanh Niên. Thể loại: Kỹ Năng Sống (Sách Nước Ngoài). Cảm xúc: động lực, truyền cảm hứng. Mô tả: Cuốn sách là tập hợp những câu chuyện ngắn, bài học thực tế về cách vượt qua khó khăn trong cuộc sống, thất bại trong công việc, hay tổn thương trong các mối quan hệ. Với giọng văn nhẹ nhàng, gần gũi, tác giả truyền cảm hứng cho người đọc rằng: “Thất bại không phải là kết thúc, mà là một phần tất yếu để bạn trưởng thành và mạnh mẽ hơn.” Mỗi chương là một bài học riêng, giúp người trẻ biết chấp nhận nỗi đau, đứng dậy và tiếp tục bước đi với lòng can đảm.. Mục đích: phát triển bản thân, truyền cảm hứng, vượt qua khó khăn, chữa lành tâm hồn, động lực. Đối tượng: mọi lứa tuổi. Đặc điểm: Bài học vượt qua khó khăn để trưởng thành. Từ khóa: self-help, động lực, trưởng thành."
83,Mắt Biếc,"Tên sách: Mắt Biếc. Tác giả: Nguyễn Nhật Ánh. Năm XB: 1990. NXB: NXB Trẻ. Thể loại: Tình Cảm (Sách Việt Nam). Cảm xúc: buồn, lãng mạn. Mô tả: 'Mắt Biếc' là một câu chuyện tình buồn đậm chất thơ của tuổi học trò, xoay quanh Ngạn và Hà Lan – hai nhân vật đại diện cho những trái tim yêu thương chân thành nhưng lỡ nhịp thời gian. Với văn phong dịu dàng, tác phẩm mang đến nỗi nhớ day dứt về một mối tình không trọn.. Mục đích: giải trí, suy ngẫm, cảm nhận tình yêu tuổi học trò, buồn, lãng mạn. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Tình yêu buồn giữa Ngạn và Hà Lan thời học trò. Từ khóa: tiểu thuyết, tình yêu, tuổi trẻ."
84,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,"Tên sách: Tôi Thấy Hoa Vàng Trên Cỏ Xanh. Tác giả: Nguyễn Nhật Ánh. Năm XB: 2010. NXB: NXB Trẻ. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: vui vẻ, cảm động. Mô tả: Một tác phẩm đậm chất đồng quê, đưa người đọc trở về tuổi thơ với những cánh đồng, con dốc, và tình cảm trong trẻo của lứa tuổi thiếu niên. Truyện không chỉ có thơ mộng mà còn là hồi tưởng đầy xúc động về sự ngây thơ đã qua.. Mục đích: giải trí, suy ngẫm, hồi tưởng tuổi thơ, vui vẻ, cảm động. Đối tượng: mọi lứa tuổi. Đặc điểm: Hồi tưởng tuổi thơ trong trẻo ở vùng quê. Từ khóa: truyện ngắn, tuổi thơ, đồng quê."
85,Java Nâng Cao 2,"Tên sách: Java Nâng Cao 2. Tác giả: Đoàn Văn Ban. Năm XB: 2010. NXB: NXB Giáo Dục. Thể loại: Sách Lập Trình (Sách Giáo Khoa). Cảm xúc: học tập. Mô tả: Cuốn sách này cũng chứa nhiều công cụ hữu ích như bài tập và bản đồ trí nhớ, giúp bạn hiểu nhanh hơn về các mẫu thiết kế. Cuốn sách này là bước khởi đầu tuyệt vời nếu bạn muốn tìm hiểu các mẫu thiết kế Java cốt lõi và các nguyên tắc thiết kế hướng đối tượng.. Mục đích: học tập, giáo dục, tài liệu tham khảo, nâng cao kỹ năng lập trình, tìm hiểu design patterns. Đối tượng: sinh viên, người đi làm, lập trình viên. Đặc điểm: Hướng dẫn thiết kế Java và nguyên tắc hướng đối tượng. Từ khóa: lập trình, Java, thiết kế."
86,Franny And Zooey,"Tên sách: Franny And Zooey. Tác giả: J.D. Salinger. Năm XB: 1961. NXB: Little, Brown and Company. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, suy ngẫm. Mô tả: Tác phẩm gồm hai truyện ngắn của J.D. Salinger, tiếp tục đào sâu vào những xung đột nội tâm của giới trẻ và sự xa lạ với thế giới trưởng thành. Với phong cách viết đặc trưng và cách thể hiện tâm lý nhân vật tinh tế, 'Franny and Zooey' là tác phẩm không thể bỏ qua đối với người yêu văn học hiện đại.. Mục đích: suy ngẫm, tìm hiểu tâm lý tuổi mới lớn, văn học hiện đại, buồn, phát triển bản thân. Đối tượng: thanh thiếu niên, người lớn. Đặc điểm: Xung đột nội tâm của giới trẻ qua hai truyện ngắn. Từ khóa: tiểu thuyết, tâm lý, tuổi trẻ."
87,The Great Gatsby,"Tên sách: The Great Gatsby. Tác giả: F. Scott Fitzgerald. Năm XB: 1925. NXB: Scribner. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, suy ngẫm. Mô tả: F. Scott Fitzgerald kể về một thời đại vàng son của nước Mỹ sau Thế chiến I qua nhân vật Jay Gatsby. Tác phẩm phản ánh sự hào nhoáng, trống rỗng và những khát vọng không tưởng. Một kiệt tác văn học được xem là biểu tượng của 'Giấc mơ Mỹ'.. Mục đích: suy ngẫm, tìm hiểu văn học kinh điển, phê phán xã hội, buồn. Đối tượng: người lớn. Đặc điểm: Khát vọng không tưởng của Jay Gatsby trong Giấc mơ Mỹ. Từ khóa: tiểu thuyết, Giấc mơ Mỹ, lãng mạn."
88,Giết Con Chim Nhại,"Tên sách: Giết Con Chim Nhại. Tác giả: Harper Lee. Năm XB: 1960. NXB: NXB Văn học. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, nhân văn. Mô tả: Harper Lee kể lại câu chuyện xúc động về công lý, phân biệt chủng tộc và lòng dũng cảm qua góc nhìn trẻ thơ của Scout. Đây là một tác phẩm nhân văn sâu sắc, có sức ảnh hưởng lớn đến nền văn học Mỹ và thế giới.. Mục đích: suy ngẫm, tìm hiểu về công lý, nhân quyền, giáo dục, buồn, nhân văn. Đối tượng: mọi lứa tuổi. Đặc điểm: Câu chuyện về công lý qua góc nhìn trẻ thơ. Từ khóa: tiểu thuyết, nhân văn, công lý."
89,The Catcher In The Rye,"Tên sách: The Catcher In The Rye. Tác giả: J.D. Salinger. Năm XB: 1951. NXB: Little, Brown and Company. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, suy ngẫm. Mô tả: A novel by J.D. Salinger, first published in 1951. It explores complex issues of identity, belonging, and alienation through the story of Holden Caulfield, a disillusioned teenager in New York City.. Mục đích: suy ngẫm, tìm hiểu tâm lý tuổi mới lớn, buồn, phát triển bản thân. Đối tượng: thanh thiếu niên, người lớn. Đặc điểm: Khám phá tâm lý Holden Caulfield về sự xa lạ và tuổi trẻ. Từ khóa: tiểu thuyết, tuổi trẻ, tâm lý."
90,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"Tên sách: Cho Tôi Xin Một Vé Đi Tuổi Thơ. Tác giả: Nguyễn Nhật Ánh. Năm XB: 2008. NXB: NXB Trẻ. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: vui vẻ, cảm động. Mô tả: Một tác phẩm văn học Việt Nam viết về tuổi trẻ, sự trưởng thành và những dằn vặt tâm lý của thanh thiếu niên khi bước vào thế giới người lớn.. Mục đích: giải trí, suy ngẫm, hồi tưởng tuổi thơ, vui vẻ, cảm động. Đối tượng: mọi lứa tuổi. Đặc điểm: Hành trình trưởng thành và ký ức tuổi trẻ. Từ khóa: truyện ngắn, tuổi thơ, trưởng thành."
92,Raise High The Roof Beam, Carpenters,"Tên sách: Raise High The Roof Beam, Carpenters. Tác giả: J.D. Salinger. Năm XB: 1955. NXB: Little, Brown and Company. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, suy ngẫm. Mô tả: Một truyện ngắn nổi tiếng khác của J.D. Salinger, thể hiện văn phong sâu sắc và những lát cắt nội tâm nhân vật rất đặc trưng.. Mục đích: suy ngẫm, tìm hiểu tâm lý, văn học hiện đại, buồn, phát triển bản thân. Đối tượng: thanh thiếu niên, người lớn. Đặc điểm: Lát cắt nội tâm nhân vật của J.D. Salinger. Từ khóa: truyện ngắn, tâm lý, văn học."
93,Tuổi Thần Tiên,"Tên sách: Tuổi Thần Tiên. Tác giả: Nhiều tác giả. Năm XB: 2012. NXB: NXB Kim Đồng. Thể loại: Truyện Tranh (Sách Thiếu Nhi). Cảm xúc: vui vẻ, giáo dục. Mô tả: Sách thiếu nhi mô tả giai đoạn chuyển giao giữa trẻ con và người lớn, với các bài học nhẹ nhàng và sâu sắc.. Mục đích: giải trí, giáo dục, bài học cuộc sống, vui vẻ. Đối tượng: trẻ em. Đặc điểm: Bài học nhẹ nhàng cho trẻ về sự trưởng thành. Từ khóa: thiếu nhi, giáo dục, tuổi trẻ."
94,Chú Ngựa Đồng Cỏ,"Tên sách: Chú Ngựa Đồng Cỏ. Tác giả: Vũ Hùng. Năm XB: 2010. NXB: NXB Giáo Dục. Thể loại: Truyện Tranh (Sách Thiếu Nhi). Cảm xúc: vui vẻ, giáo dục. Mô tả: Một câu chuyện đồng quê dịu dàng, mang tính giáo dục và định hướng đạo đức cho thiếu nhi.. Mục đích: giải trí, giáo dục đạo đức, vui vẻ. Đối tượng: trẻ em. Đặc điểm: Câu chuyện đồng quê giáo dục đạo đức cho trẻ. Từ khóa: thiếu nhi, đồng quê, đạo đức."
95,Giáo Trình Tâm Lý Tuổi Teen,"Tên sách: Giáo Trình Tâm Lý Tuổi Teen. Tác giả: TS. Lê Thị Thanh Hương. Năm XB: 2015. NXB: NXB Giáo Dục. Thể loại: Tâm Lý (Sách Giáo Khoa). Cảm xúc: học tập. Mô tả: Cuốn sách giáo khoa phân tích tâm lý học lứa tuổi vị thành niên, phù hợp cho học sinh cấp 2, 3 và sinh viên ngành tâm lý.. Mục đích: học tập, giáo dục, tài liệu tham khảo, tìm hiểu tâm lý. Đối tượng: thanh thiếu niên, sinh viên, phụ huynh, giáo viên. Đặc điểm: Phân tích tâm lý học cho lứa tuổi vị thành niên. Từ khóa: tâm lý, tuổi teen, giáo dục."
96,Intermezzo,"Tên sách: Intermezzo. Tác giả: Sally Rooney. Năm XB: 2024. NXB: Faber & Faber. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, cảm động. Mô tả: Tiểu thuyết thứ tư của Sally Rooney kể về hai anh em trai ở Ireland sau cái chết của cha họ. Tác phẩm khai thác chủ đề tình cảm, mất mát và sự cô đơn.. Mục đích: suy ngẫm, cảm nhận tình cảm gia đình, giải trí, buồn, cảm động. Đối tượng: người lớn. Đặc điểm: Khai thác tình cảm và mất mát của hai anh em trai. Từ khóa: tiểu thuyết, tình cảm, mất mát."
97,The Bright Sword,"Tên sách: The Bright Sword. Tác giả: Lev Grossman. Năm XB: 2024. NXB: Viking Press. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: phiêu lưu, huyền thoại. Mô tả: Một cách tiếp cận mới về truyền thuyết vua Arthur, tập trung vào một hiệp sĩ trẻ tên Collum trong hành trình bảo vệ vương quốc.. Mục đích: giải trí, phiêu lưu, tìm hiểu huyền thoại, suy ngẫm. Đối tượng: người lớn. Đặc điểm: Hành trình của hiệp sĩ Collum trong truyền thuyết vua Arthur. Từ khóa: tiểu thuyết, huyền thoại, phiêu lưu."
98,The Morningside,"Tên sách: The Morningside. Tác giả: Téa Obreht. Năm XB: 2024. NXB: Random House. Thể loại: Lãng Mạn (Sách Nước Ngoài). Cảm xúc: buồn, suy ngẫm. Mô tả: Câu chuyện về một cô gái trẻ sống trong một tòa nhà bỏ hoang, khám phá sự kết nối giữa con người và nơi chốn trong bối cảnh hậu tận thế.. Mục đích: suy ngẫm, giải trí, tìm hiểu về bối cảnh hậu tận thế, buồn. Đối tượng: người lớn. Đặc điểm: Khám phá con người và nơi chốn trong bối cảnh hậu tận thế. Từ khóa: tiểu thuyết, hậu tận thế, nhân văn."
99,Nguyễn Khuyến Tác Phẩm,"Tên sách: Nguyễn Khuyến Tác Phẩm. Tác giả: Nguyễn Khuyến. Năm XB: 2014. NXB: NXB Văn học. Thể loại: Văn Học (Sách Việt Nam). Cảm xúc: lãng mạn, suy ngẫm. Mô tả: Mục lục thơ: Về hay ở, Về nghỉ nhà, Nghe hát đêm khuya, Tự trào Tự thuật, Ngày xuân dạy các con, Mẹ mốc, Vịnh tiến sĩ giấy, Vịnh núi An lão, Nhớ cảnh chùa Đọi, Than mùa hè, Vịnh mùa hè. Mục đích: suy ngẫm, cảm thụ văn học, tìm hiểu tác giả Nguyễn Khuyến, lãng mạn. Đối tượng: mọi lứa tuổi. Đặc điểm: Tuyển tập thơ lãng mạn và sâu sắc của Nguyễn Khuyến. Từ khóa: thơ ca, văn học, truyền thống."
100,Người Quảng Đi Ăn Mì Quảng (Tái Bản 2023),"Tên sách: Người Quảng Đi Ăn Mì Quảng (Tái Bản 2023). Tác giả: Nguyễn Nhật Ánh. Năm XB: 2020. NXB: NXB Trẻ. Thể loại: Văn Học (Sách Việt Nam). Cảm xúc: vui vẻ, văn hóa. Mô tả: 'Người Quảng Đi Ăn Mì Quảng' là tập tạp văn của Nguyễn Nhật Ánh, không chỉ luận bàn về mì Quảng mà còn kể về nhiều khía cạnh đời sống, từ món ăn, thư pháp, sân khấu, điện ảnh đến những câu chuyện đời thường. Với giọng văn hóm hỉnh, tác giả mang đến những triết lý sâu sắc về cuộc sống, văn hóa và ký ức.. Mục đích: giải trí, suy ngẫm, tìm hiểu văn hóa, vui vẻ. Đối tượng: mọi lứa tuổi. Đặc điểm: Tạp văn hóm hỉnh về văn hóa và đời sống Việt. Từ khóa: tạp văn, văn hóa, đời sống."
101,Cô Gái Đến Từ Hôm Qua - Bản Đặc Biệt,"Tên sách: Cô Gái Đến Từ Hôm Qua - Bản Đặc Biệt. Tác giả: Nguyễn Nhật Ánh. Năm XB: 2025. NXB: NXB Trẻ. Thể loại: Tình Cảm (Sách Việt Nam). Cảm xúc: lãng mạn, cảm động. Mô tả: Câu chuyện về Thư, một chàng trai từng bắt nạt cô bé Tiểu Li thời nhỏ, nay nhận ra cô bạn học Việt An chính là Tiểu Li ngày xưa. Tác phẩm kể về những rung động đầu đời và sự trưởng thành qua tình yêu và ký ức.. Mục đích: giải trí, suy ngẫm, hồi tưởng tuổi học trò, lãng mạn, cảm động. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Rung động đầu đời giữa Thư và Việt An. Từ khóa: tiểu thuyết, tình yêu, tuổi thơ."
102,Crying In Trees (Bản Tiếng Anh),"Tên sách: Crying In Trees (Bản Tiếng Anh). Tác giả: Nguyễn Nhật Ánh. Năm XB: 2023. NXB: NXB Trẻ. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: buồn, cảm động. Mô tả: Bản tiếng Anh của 'Ngồi khóc trên cây', kể về tình yêu và ký ức tuổi thơ giữa nhân vật chính và Turtle. Tác phẩm mang cảm xúc rưng rưng, với những bài học về tình bạn, tình yêu và sự trưởng thành.. Mục đích: suy ngẫm, cảm nhận tình yêu tuổi thơ, thực hành tiếng Anh, buồn, cảm động. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Tình yêu và ký ức tuổi thơ giữa nhân vật và Turtle. Từ khóa: truyện ngắn, tình yêu, tuổi thơ."
103,Những Chàng Trai Xấu Tính,"Tên sách: Những Chàng Trai Xấu Tính. Tác giả: Nguyễn Nhật Ánh. Năm XB: 2022. NXB: NXB Trẻ. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: vui vẻ, lãng mạn. Mô tả: Câu chuyện về hai chàng trai Biền và Tưởng, cùng yêu một cô gái kỳ lạ tại hồ bơi công cộng. Tác phẩm kể về tình bạn, tình yêu và những trò tinh quái của tuổi trẻ.. Mục đích: giải trí, suy ngẫm, hồi tưởng tuổi trẻ, vui vẻ, lãng mạn. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Tình bạn và tình yêu tuổi trẻ tại hồ bơi. Từ khóa: truyện ngắn, tình yêu, tuổi trẻ."
104,Hai Con Mèo,"Tên sách: Hai Con Mèo. Tác giả: Nguyễn Nhật Ánh. Năm XB: 2023. NXB: NXB Trẻ. Thể loại: Tình Cảm (Sách Việt Nam). Cảm xúc: vui vẻ, cảm động. Mô tả: Câu chuyện về tình bạn giữa một chú mèo lười và một cô chim sẻ, mang triết lý về sự bao dung và thấu hiểu. Tác phẩm nhẹ nhàng, hóm hỉnh nhưng sâu sắc, phù hợp cho mọi lứa tuổi.. Mục đích: giải trí, suy ngẫm, bài học về tình bạn, vui vẻ, cảm động. Đối tượng: mọi lứa tuổi. Đặc điểm: Tình bạn giữa mèo và chim sẻ đầy bao dung. Từ khóa: tiểu thuyết, tình bạn, triết lý."
105,Lá Nằm Trong Lá,"Tên sách: Lá Nằm Trong Lá. Tác giả: Nguyễn Nhật Ánh. Năm XB: 2022. NXB: NXB Trẻ. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: vui vẻ, cảm động. Mô tả: Tác phẩm kể về những rung động đầu đời của nhóm học trò, với những câu chuyện hóm hỉnh về tình bạn, tình yêu và giấc mơ văn chương. Nguyễn Nhật Ánh mang đến một thế giới tuổi trẻ đầy cảm xúc.. Mục đích: giải trí, suy ngẫm, hồi tưởng tuổi học trò, vui vẻ, cảm động. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Rung động đầu đời của học trò qua tình bạn và tình yêu. Từ khóa: truyện ngắn, tuổi trẻ, tình yêu."
106,Có Một Chuyện Tình,"Tên sách: Có Một Chuyện Tình. Tác giả: Nguyễn Nhật Ánh. Năm XB: 2025. NXB: NXB Trẻ. Thể loại: Tình Cảm (Sách Việt Nam). Cảm xúc: lãng mạn, cảm động. Mô tả: Tác phẩm kể về một mối tình say đắm, mù lòa giữa các nhân vật, với những cảm xúc mãnh liệt và những câu hỏi về đạo đức, tình yêu. Nguyễn Nhật Ánh mang đến một câu chuyện tình đầy ám ảnh.. Mục đích: giải trí, suy ngẫm, cảm nhận tình yêu, lãng mạn, cảm động. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Mối tình say đắm đầy cảm xúc và câu hỏi đạo đức. Từ khóa: tiểu thuyết, tình yêu, cảm xúc."
108,Sách Tranh Ehon Kuma - Những Chuyện Nhỏ Hằng Ngày - Trường Mẫu Giáo Vui Nhộn,"Tên sách: Sách Tranh Ehon Kuma - Những Chuyện Nhỏ Hằng Ngày - Trường Mẫu Giáo Vui Nhộn. Tác giả: Yoko Sasaki. Năm XB: 2024. NXB: NXB Văn học. Thể loại: Truyện Tranh (Sách Thiếu Nhi). Cảm xúc: vui vẻ, giáo dục. Mô tả: Tuyển tập truyện tranh về gấu con Kuma ở mẫu giáo, mang đến 10 câu chuyện giáo dục về tương tác xã hội, tình cảm, an toàn và văn hóa truyền thống, phù hợp cho trẻ trên 3 tuổi.. Mục đích: giáo dục, giải trí, vui vẻ. Đối tượng: trẻ em (mầm non). Đặc điểm: Truyện tranh giáo dục về gấu con Kuma ở mẫu giáo. Từ khóa: truyện tranh, trẻ em, giáo dục."
109,Tuổi Trẻ Đáng Giá Bao Nhiêu,"Tên sách: Tuổi Trẻ Đáng Giá Bao Nhiêu. Tác giả: Rosie Nguyễn. Năm XB: 2025. NXB: Hội Nhà Văn. Thể loại: Truyền Cảm Hứng (Sách Việt Nam). Cảm xúc: động lực, truyền cảm hứng. Mô tả: “Bạn hối tiếc vì không nắm bắt lấy một cơ hội nào đó, chẳng có ai phải mất ngủ. Bạn trải qua những ngày tháng nhạt nhẽo với công việc bạn căm ghét, người ta chẳng hề bận lòng. Bạn có chết mòn nơi xó tường với những ước mơ dang dở, đó không phải là việc của họ. Suy cho cùng, quyết định là ở bạn. Muốn có điều gì hay không là tùy bạn. Nên hãy làm những điều bạn thích. Hãy đi theo tiếng nói trái tim. Hãy sống theo cách bạn cho là mình nên sống. Vì sau tất cả, chẳng ai quan tâm.”. Mục đích: phát triển bản thân, truyền cảm hứng, động lực, chữa lành tâm hồn. Đối tượng: thanh thiếu niên, người trẻ. Đặc điểm: Khuyến khích sống theo đam mê và vượt qua khó khăn. Từ khóa: self-help, động lực, tuổi trẻ."
110,25 Độ Âm,"Tên sách: 25 Độ Âm. Tác giả: Thảo Trang. Năm XB: 2024. NXB: NXB Trẻ. Thể loại: Tiểu Thuyết (Sách Việt Nam). Cảm xúc: buồn, suy ngẫm. Mô tả: Tiểu thuyết dựa trên vụ việc 39 người Việt thiệt mạng trong xe tải đông lạnh khi nhập cư vào Anh năm 2019. Tác phẩm phản ánh hành trình vượt biên đầy ám ảnh và khát vọng đổi đời.. Mục đích: suy ngẫm, tìm hiểu vấn đề xã hội, đồng cảm, buồn. Đối tượng: người lớn. Đặc điểm: Hành trình vượt biên ám ảnh của người Việt. Từ khóa: tiểu thuyết, bi kịch, vượt biên."
111,Ngôi Nhà Kỳ Quái 2,"Tên sách: Ngôi Nhà Kỳ Quái 2. Tác giả: Uketsu. Năm XB: 2024. NXB: NXB Thanh Niên. Thể loại: Kinh Dị (Sách Nước Ngoài). Cảm xúc: hồi hộp, bí ẩn. Mô tả: Phần tiếp theo của tác phẩm bán chạy tại Nhật Bản, gồm 11 câu chuyện nhỏ khám phá bí ẩn qua các bản vẽ kiến trúc, mang đến trải nghiệm hồi hộp và lôi cuốn.. Mục đích: giải trí, hồi hộp, trinh thám, bí ẩn. Đối tượng: người lớn. Đặc điểm: Bí ẩn qua các bản vẽ kiến trúc đầy hồi hộp. Từ khóa: truyện tranh, kinh dị, bí ẩn."
112,Con Thiêng Của Rừng,"Tên sách: Con Thiêng Của Rừng. Tác giả: Trung Trung Đỉnh. Năm XB: 2024. NXB: NXB Trẻ. Thể loại: Văn Học (Sách Việt Nam). Cảm xúc: suy ngẫm, giáo dục. Mô tả: Tác phẩm dành cho thiếu nhi, kể về cuộc đời họa sĩ Y Man – 'cánh chim đầu đàn' của mỹ thuật Tây Nguyên, từ thời thơ ấu đến khi trở thành nghệ sĩ cách mạng.. Mục đích: giáo dục, suy ngẫm, tìm hiểu văn hóa Tây Nguyên, cảm thụ nghệ thuật. Đối tượng: trẻ em, mọi lứa tuổi. Đặc điểm: Cuộc đời họa sĩ Y Man ở Tây Nguyên. Từ khóa: tiểu thuyết, nghệ thuật, thiếu nhi."
113,Vang Danh Nghề Cổ,"Tên sách: Vang Danh Nghề Cổ. Tác giả: Nhiều tác giả. Năm XB: 2024. NXB: NXB Kim Đồng. Thể loại: Truyện Tranh (Sách Thiếu Nhi). Cảm xúc: vui vẻ, giáo dục. Mô tả: Series tranh truyện giới thiệu về các làng nghề thủ công truyền thống của Việt Nam, giúp bạn đọc nhỏ tuổi khám phá quy trình làm ra sản phẩm và giá trị văn hóa vùng miền.. Mục đích: giáo dục, tìm hiểu văn hóa, giải trí, vui vẻ. Đối tượng: trẻ em. Đặc điểm: Giới thiệu làng nghề thủ công truyền thống Việt Nam. Từ khóa: truyện tranh, văn hóa, trẻ em."
114,Đến Nơi Rồi,"Tên sách: Đến Nơi Rồi. Tác giả: Cát Thảo Nguyễn. Năm XB: 2024. NXB: NXB Thế Giới. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: động lực, cảm động. Mô tả: Hồi ký cảm động kể về hành trình của một gia đình gốc Việt vượt qua những đau thương và nỗ lực hòa nhập vào môi trường sống mới.. Mục đích: suy ngẫm, truyền cảm hứng, đồng cảm, động lực, cảm động. Đối tượng: mọi lứa tuổi. Đặc điểm: Hành trình hòa nhập của gia đình gốc Việt. Từ khóa: hồi ký, di cư, cảm động."
115,Trước Khi Chúng Ta Nói Lời Chia Tay,"Tên sách: Trước Khi Chúng Ta Nói Lời Chia Tay. Tác giả: Phan. Năm XB: 2024. NXB: NXB Dân Trí. Thể loại: Truyện Ngắn (Sách Việt Nam). Cảm xúc: lãng mạn, buồn. Mô tả: Tập truyện ngắn sâu lắng về những mối quan hệ và cảm xúc trong cuộc sống hiện đại, mang đến sự đồng cảm cho người đọc.. Mục đích: suy ngẫm, giải trí, đồng cảm, lãng mạn, buồn. Đối tượng: người trẻ, người lớn. Đặc điểm: Truyện ngắn về mối quan hệ và cảm xúc hiện đại. Từ khóa: truyện ngắn, tình yêu, cảm xúc."
